model,intervention,n,delta,d,ci_lo,ci_hi,p,p_bonferroni
Qwen2-VL-2B,Metadata grounding,143,0.3479020979020979,1.193105808204384,0.9711767053456328,1.461611032887305,1.5445607043423187e-18,9.267364226053913e-18
Qwen2-VL-2B,Prompt scaffolding,147,0.043083900226757364,0.2088488800023908,0.057948864137867075,0.3659112233470857,0.011937596486014087,0.07162557891608452
SmolVLM-500M,Metadata grounding,67,0.3507462686567164,1.1403768769181106,0.8547540000786285,1.5206671669840934,2.415254112461717e-09,1.4491524674770302e-08
SmolVLM-500M,Prompt scaffolding,39,0.02564102564102564,0.17897966282500527,-0.1283211768912217,0.4959124326805328,0.20124262095772383,1.0
Phi-3.5-Vision,Metadata grounding,87,0.5440613026819923,2.0252924147919367,1.7090154610519113,2.4242492943410294,4.664518274257796e-15,2.7987109645546777e-14
Phi-3.5-Vision,Prompt scaffolding,114,-0.00804093567251462,-0.04653035415330283,-0.23033738107259502,0.13847621091853732,0.7874599563678616,1.0
