model,condition,n,usable_rate,echo_rate,distinct_trigram,words,sec_median,usable_n,coverage,coverage_sd,unsup_any
qwen2vl-2b,image_meta,150,0.967,0.013,0.936,114.993,6.175,145,0.641,0.267,0.462
qwen2vl-2b,image_only,150,0.987,0.013,0.981,110.473,5.7,148,0.3,0.235,0.486
qwen2vl-2b,image_only_scaffold,150,0.993,0.0,0.987,49.053,2.52,149,0.252,0.216,0.403
smolvlm-500m,image_meta,150,0.78,0.2,0.949,63.333,3.78,117,0.613,0.27,0.35
smolvlm-500m,image_only,150,0.553,0.247,0.806,21.68,1.585,83,0.239,0.215,0.566
smolvlm-500m,image_only_scaffold,150,0.413,0.293,0.694,13.667,1.285,62,0.259,0.214,0.532
phi35-vision-4b,image_meta,150,0.733,0.267,0.999,70.067,7.1,110,0.854,0.209,0.255
phi35-vision-4b,image_only,150,0.76,0.24,1.0,66.46,6.52,114,0.292,0.235,0.64
phi35-vision-4b,image_only_scaffold,150,1.0,0.0,1.0,50.667,5.02,150,0.286,0.228,0.62
